ticket_id,request_date,week_start,channel,department,request_type,customer_type,priority,status,response_hours,resolution_hours,response_sla_hours,resolution_sla_hours,first_response_met,resolution_sla_met,rework_required,revenue_value,cost_estimate,estimated_margin,satisfaction_score
REQ-10605,2026-01-07,2026-01-05,Email,Client Success,Service Follow-Up,Student,Normal,Closed,4.73,6.6,8,72,1,1,0,325.6,102.9,222.7,4.38
REQ-10025,2026-01-08,2026-01-05,Email,Systems Operations,Intake Form Issue,Internal Staff,Low,In Progress,2.63,0.0,16,120,1,1,0,375.83,126.5,249.33,4.16
REQ-10073,2026-01-08,2026-01-05,Walk-In,Admin Operations,Vendor Record Update,Unknown,Low,Closed,3.25,19.99,16,120,1,1,0,245.5,85.92,159.57,4.27
REQ-10176,2026-01-08,2026-01-05,Web Form,Client Success,Service Follow-Up,Internal Staff,Normal,In Progress,2.05,0.0,8,72,1,1,0,263.9,124.91,138.99,4.15
REQ-10272,2026-01-08,2026-01-05,Web Form,Client Success,Service Follow-Up,Vendor,Normal,Closed,3.3,8.15,8,72,1,1,0,370.06,129.52,240.54,4.66
REQ-10434,2026-01-08,2026-01-05,Web Form,Scheduling,Appointment Change,Small Business,Normal,Open,2.32,0.0,8,72,1,1,0,137.75,59.5,78.25,4.1
REQ-10567,2026-01-08,2026-01-05,Web Form,Systems Operations,Automation Request,Student,Normal,Closed,2.44,18.0,8,72,1,1,0,1061.52,557.1,504.42,4.22
REQ-10201,2026-01-09,2026-01-05,Web Form,Scheduling,Appointment Change,Small Business,Low,Closed,1.36,6.87,16,120,1,1,0,156.78,39.6,117.18,4.65
REQ-10314,2026-01-09,2026-01-05,Email,Client Success,Service Follow-Up,Unknown,High,Open,1.58,0.0,4,36,1,1,0,286.8,135.45,151.35,4.14
REQ-10514,2026-01-09,2026-01-05,Email,Data & Reporting,Dashboard Request,Small Business,Normal,Open,4.08,0.0,8,72,1,1,0,775.45,195.72,579.73,4.01
REQ-10531,2026-01-09,2026-01-05,Phone,Billing,Billing Question,Internal Staff,Normal,Closed,2.73,29.06,8,72,1,1,0,197.05,58.56,138.49,4.14
REQ-10562,2026-01-09,2026-01-05,Email,Scheduling,Appointment Change,Student,Low,Closed,4.2,15.03,16,120,1,1,0,225.08,107.77,117.31,4.38
REQ-10618,2026-01-09,2026-01-05,Web Form,Systems Operations,Intake Form Issue,Vendor,Low,Open,4.97,0.0,16,120,1,1,0,496.24,160.65,335.59,4.08
REQ-10131,2026-01-10,2026-01-05,Email,Billing,Invoice Correction,Internal Staff,Normal,Closed,3.76,73.13,8,72,1,0,0,342.7,168.8,173.9,3.55
REQ-10392,2026-01-10,2026-01-05,Phone,Client Success,Service Follow-Up,Vendor,High,Closed,4.05,6.14,4,36,0,1,0,368.39,128.94,239.45,4.31
REQ-10403,2026-01-10,2026-01-05,Unknown,Systems Operations,Automation Request,Internal Staff,Normal,Closed,1.01,6.12,8,72,1,1,0,969.56,334.09,635.47,4.41
REQ-10452,2026-01-10,2026-01-05,Email,Systems Operations,Intake Form Issue,Internal Staff,Low,Closed,5.0,48.42,16,120,1,1,0,459.58,144.63,314.95,3.94
REQ-10466,2026-01-10,2026-01-05,Email,Systems Operations,Intake Form Issue,Student,Low,Closed,11.13,11.93,16,120,1,1,0,323.97,175.93,148.04,4.27
REQ-10517,2026-01-10,2026-01-05,Email,Billing,General Request,Student,Normal,Closed,1.76,6.69,8,72,1,1,0,210.15,85.71,124.44,4.63
REQ-10026,2026-01-11,2026-01-05,Web Form,Billing,Billing Question,Unknown,Normal,Closed,1.2,9.38,8,72,1,1,0,176.3,84.55,91.75,4.44
REQ-10116,2026-01-11,2026-01-05,Email,Client Success,Service Follow-Up,Internal Staff,Low,Closed,5.97,17.0,16,120,1,1,0,276.12,72.82,203.3,4.48
REQ-10145,2026-01-11,2026-01-05,Email,Admin Operations,Vendor Record Update,Unknown,Normal,Open,3.64,0.0,8,72,1,1,0,191.96,56.07,135.89,4.34
REQ-10293,2026-01-11,2026-01-05,Phone,IT Support,Account Setup,Parent,Normal,Closed,3.77,14.61,8,72,1,1,0,306.21,91.7,214.51,4.48
REQ-10362,2026-01-11,2026-01-05,Email,Billing,Invoice Correction,Vendor,High,Closed,2.98,6.14,4,36,1,1,0,280,112.41,167.59,4.15
REQ-10446,2026-01-11,2026-01-05,Phone,Admin Operations,Vendor Record Update,Vendor,Normal,Closed,3.05,7.98,8,72,1,1,0,167.06,47.1,119.96,4.36
REQ-10578,2026-01-11,2026-01-05,Web Form,Billing,Invoice Correction,Internal Staff,Normal,Closed,1.67,26.96,8,72,1,1,0,341.35,81.1,260.25,4.32
REQ-10000,2026-01-12,2026-01-12,Unknown,Scheduling,Appointment Change,Parent,Normal,In Progress,3.38,0.0,8,72,1,1,0,143.52,66.99,76.53,4.3
REQ-10139,2026-01-12,2026-01-12,Web Form,Billing,Billing Question,Small Business,Normal,Open,2.79,0.0,8,72,1,1,0,194.7,53.22,141.48,4.09
REQ-10069,2026-01-13,2026-01-12,Web Form,IT Support,Account Setup,Parent,Normal,Closed,2.3,17.52,8,72,1,1,0,298.97,95.25,203.72,4.21
REQ-10091,2026-01-13,2026-01-12,Email,Client Success,Service Follow-Up,Internal Staff,Normal,In Progress,7.17,0.0,8,72,1,1,1,234.44,84.97,149.47,3.83
REQ-10292,2026-01-13,2026-01-12,Walk-In,Data & Reporting,General Request,Vendor,High,In Progress,2.19,0.0,4,36,1,1,0,250,380.88,-130.88,4.12
REQ-10315,2026-01-13,2026-01-12,Email,Scheduling,Appointment Change,Internal Staff,Normal,Closed,5.88,7.14,8,72,1,1,0,160,71.44,88.56,4.3
REQ-10549,2026-01-13,2026-01-12,Email,Admin Operations,Vendor Record Update,Internal Staff,Low,Open,4.2,0.0,16,120,1,1,0,179.82,60.94,118.88,3.87
REQ-10592,2026-01-13,2026-01-12,Email,Data & Reporting,Data Export,Internal Staff,Normal,Closed,5.68,13.35,8,72,1,1,0,480,180.34,299.66,4.5
REQ-10637,2026-01-13,2026-01-12,Web Form,Billing,Billing Question,Parent,Normal,Closed,2.78,19.57,8,72,1,1,0,175.42,47.63,127.79,3.8
REQ-10154,2026-01-14,2026-01-12,Walk-In,Scheduling,Appointment Change,Parent,High,Closed,2.6,3.4,4,36,1,1,0,121.23,58.63,62.6,4.51
REQ-10199,2026-01-14,2026-01-12,Email,Data & Reporting,Dashboard Request,Student,High,Closed,4.46,10.83,4,36,0,1,0,908.1,248.78,659.32,3.8
REQ-10250,2026-01-14,2026-01-12,Web Form,Admin Operations,Vendor Record Update,Vendor,Normal,Open,5.05,0.0,8,72,1,1,0,194.49,60.44,134.05,4.29
REQ-10428,2026-01-14,2026-01-12,Email,IT Support,Account Setup,Student,Low,Closed,3.39,6.35,16,120,1,1,0,454.26,211.9,242.36,4.58
REQ-10489,2026-01-14,2026-01-12,Email,Client Success,Service Follow-Up,Small Business,Urgent,Open,1.32,0.0,2,24,1,1,0,245.34,75.49,169.85,3.8
REQ-10504,2026-01-14,2026-01-12,Email,Systems Operations,Automation Request,Small Business,Low,Closed,4.16,11.93,16,120,1,1,0,1130.85,531.55,599.3,4.3
REQ-10638,2026-01-14,2026-01-12,Walk-In,Data & Reporting,Dashboard Request,Small Business,Normal,Closed,2.35,6.43,8,72,1,1,0,1203.31,493.4,709.91,4.36
REQ-10124,2026-01-15,2026-01-12,Email,Data & Reporting,Dashboard Request,Small Business,Low,Open,5.65,0.0,16,120,1,1,0,808.5,195.73,612.77,4.0
REQ-10335,2026-01-15,2026-01-12,Email,Systems Operations,Automation Request,Small Business,Normal,Open,3.9,0.0,8,72,1,1,0,1605.51,449.0,1156.51,4.08
REQ-10394,2026-01-15,2026-01-12,Phone,Billing,Billing Question,Parent,High,In Progress,1.8,0.0,4,36,1,1,0,164.96,88.05,76.91,4.17
REQ-10543,2026-01-15,2026-01-12,Referral,Billing,Billing Question,Unknown,Normal,Closed,1.45,127.36,8,72,1,0,0,289.2,129.7,159.5,3.8
REQ-10577,2026-01-15,2026-01-12,Email,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,3.56,9.04,8,72,1,1,0,257.44,109.29,148.15,4.46
REQ-10041,2026-01-16,2026-01-12,Email,Systems Operations,Intake Form Issue,Vendor,Low,Closed,3.01,34.01,16,120,1,1,0,314.69,108.88,205.81,4.3
REQ-10306,2026-01-16,2026-01-12,Walk-In,Client Success,Service Follow-Up,Parent,Normal,In Progress,1.56,0.0,8,72,1,1,0,297.21,116.05,181.16,3.8
REQ-10358,2026-01-16,2026-01-12,Email,Billing,General Request,Parent,Normal,Open,4.47,0.0,8,72,1,1,0,210.81,65.03,145.78,4.3
REQ-10626,2026-01-16,2026-01-12,Email,Systems Operations,Intake Form Issue,Vendor,Normal,Closed,6.22,13.0,8,72,1,1,1,381.46,210.54,170.92,4.07
REQ-10111,2026-01-17,2026-01-12,Web Form,Data & Reporting,Dashboard Request,Small Business,Normal,Closed,5.26,6.1,8,72,1,1,0,847.06,217.83,629.23,4.32
REQ-10237,2026-01-17,2026-01-12,Web Form,Client Success,Service Follow-Up,Vendor,High,Open,1.13,0.0,4,36,1,1,0,210.0,78.27,131.73,4.45
REQ-10541,2026-01-17,2026-01-12,Referral,Systems Operations,Intake Form Issue,Internal Staff,Normal,Closed,4.3,9.78,8,72,1,1,0,527.78,117.48,410.3,4.25
REQ-10627,2026-01-17,2026-01-12,Email,Admin Operations,Vendor Record Update,Student,Normal,Open,1.99,0.0,8,72,1,1,0,206.88,87.8,119.08,4.06
REQ-10200,2026-01-18,2026-01-12,Email,Systems Operations,Intake Form Issue,Student,Normal,Closed,2.87,8.75,8,72,1,1,0,390,84.87,305.13,4.36
REQ-10442,2026-01-18,2026-01-12,Web Form,Admin Operations,Vendor Record Update,Student,Normal,Closed,2.16,11.2,8,72,1,1,0,237.74,91.45,146.29,4.66
REQ-10591,2026-01-18,2026-01-12,Email,Data & Reporting,Dashboard Request,Parent,Normal,Open,3.29,0.0,8,72,1,1,0,1138.42,496.11,642.31,3.8
REQ-10090,2026-01-19,2026-01-19,Email,IT Support,Account Setup,Parent,Normal,Closed,4.1,14.6,8,72,1,1,0,362.2,161.55,200.65,4.51
REQ-10221,2026-01-19,2026-01-19,Web Form,Systems Operations,Automation Request,Vendor,High,In Progress,0.85,0.0,4,36,1,1,0,1117.13,334.11,783.02,4.19
REQ-10407,2026-01-19,2026-01-19,Phone,Data & Reporting,Data Export,Parent,Normal,Closed,3.88,13.1,8,72,1,1,1,560.88,287.9,272.98,4.12
REQ-10049,2026-01-20,2026-01-19,Email,Billing,Billing Question,Parent,High,Closed,1.07,1.87,4,36,1,1,1,210,191.18,18.82,4.2
REQ-10056,2026-01-20,2026-01-19,Referral,Billing,Billing Question,Parent,Normal,Closed,4.6,7.54,8,72,1,1,0,169.91,82.96,86.95,4.42
REQ-10229,2026-01-20,2026-01-19,Web Form,Data & Reporting,Data Export,Vendor,High,Open,1.77,0.0,4,36,1,1,0,489.75,158.51,331.24,4.32
REQ-10353,2026-01-20,2026-01-19,Email,Systems Operations,Intake Form Issue,Small Business,Low,In Progress,7.4,0.0,16,120,1,1,0,503.01,276.35,226.66,4.17
REQ-10473,2026-01-20,2026-01-19,Phone,Client Success,Service Follow-Up,Student,Normal,Closed,4.28,7.08,8,72,1,1,0,351.4,160.82,190.58,4.5
REQ-10508,2026-01-20,2026-01-19,Phone,Scheduling,Appointment Change,Student,High,Open,1.28,0.0,4,36,1,1,0,199.67,72.68,126.99,4.15
REQ-10600,2026-01-20,2026-01-19,Email,Data & Reporting,Dashboard Request,Internal Staff,High,Closed,1.46,19.16,4,36,1,1,1,832.0,524.48,307.52,3.94
REQ-10119,2026-01-21,2026-01-19,Email,Data & Reporting,Dashboard Request,Vendor,Normal,Closed,1.8,8.23,8,72,1,1,0,651.67,228.08,423.59,4.47
REQ-10167,2026-01-21,2026-01-19,Phone,Client Success,Service Follow-Up,Internal Staff,Normal,Closed,2.43,23.3,8,72,1,1,0,198.97,69.64,129.33,4.21
REQ-10175,2026-01-21,2026-01-19,Phone,Billing,Billing Question,Vendor,Normal,Closed,1.31,14.4,8,72,1,1,0,151.34,45.18,106.16,4.19
REQ-10243,2026-01-21,2026-01-19,Walk-In,Systems Operations,Intake Form Issue,Internal Staff,Normal,Closed,3.68,6.85,8,72,1,1,1,446.02,156.11,289.91,4.1
REQ-10331,2026-01-21,2026-01-19,Web Form,Billing,Billing Question,Small Business,High,Closed,2.47,9.92,4,36,1,1,0,210,79.58,130.42,4.54
REQ-10377,2026-01-21,2026-01-19,Walk-In,Billing,Billing Question,Internal Staff,High,In Progress,2.17,0.0,4,36,1,1,0,285.76,140.5,145.26,4.29
REQ-10404,2026-01-21,2026-01-19,Web Form,Billing,Invoice Correction,Small Business,High,In Progress,1.2,0.0,4,36,1,1,0,257.72,102.26,155.46,4.18
REQ-10469,2026-01-21,2026-01-19,Walk-In,Billing,Invoice Correction,Student,High,Closed,1.56,6.14,4,36,1,1,0,206.43,63.27,143.16,4.43
REQ-10013,2026-01-22,2026-01-19,Phone,Client Success,Service Follow-Up,Parent,High,Closed,1.08,12.12,4,36,1,1,0,244.25,85.56,158.69,4.61
REQ-10063,2026-01-22,2026-01-19,Web Form,Data & Reporting,Dashboard Request,Small Business,Urgent,In Progress,2.02,0.0,2,24,0,1,0,1000.7,306.71,693.99,4.16
REQ-10133,2026-01-22,2026-01-19,Web Form,Data & Reporting,Data Export,Student,Normal,Closed,3.9,10.13,8,72,1,1,1,551.75,436.35,115.4,4.13
REQ-10400,2026-01-22,2026-01-19,Referral,Scheduling,Appointment Change,Internal Staff,Normal,Closed,4.55,8.27,8,72,1,1,0,135.53,57.57,77.96,4.43
REQ-10413,2026-01-22,2026-01-19,Web Form,IT Support,Account Setup,Small Business,Normal,Open,2.65,0.0,8,72,1,1,1,240.35,174.96,65.39,3.84
REQ-10420,2026-01-22,2026-01-19,Unknown,Admin Operations,Vendor Record Update,Parent,Normal,Closed,7.37,8.8,8,72,1,1,0,204.66,50.27,154.39,4.14
REQ-10206,2026-01-23,2026-01-19,Email,Client Success,Service Follow-Up,Vendor,Normal,Open,3.28,0.0,8,72,1,1,0,267.6,91.27,176.33,4.15
REQ-10260,2026-01-23,2026-01-19,Email,Systems Operations,Automation Request,Internal Staff,Normal,Closed,7.83,8.75,8,72,1,1,0,1523.25,408.84,1114.41,4.36
REQ-10267,2026-01-23,2026-01-19,Email,Data & Reporting,Data Export,Internal Staff,High,Closed,2.82,9.32,4,36,1,1,0,395.28,147.67,247.61,4.34
REQ-10479,2026-01-23,2026-01-19,Email,Admin Operations,Vendor Record Update,Vendor,Normal,Closed,3.01,4.88,8,72,1,1,1,256.49,190.65,65.84,4.27
REQ-10615,2026-01-23,2026-01-19,Web Form,Systems Operations,Automation Request,Vendor,Normal,Open,1.67,0.0,8,72,1,1,0,1098.0,361.5,736.5,3.8
REQ-10022,2026-01-24,2026-01-19,Phone,Scheduling,Appointment Change,Internal Staff,Normal,In Progress,3.84,0.0,8,72,1,1,0,180.45,63.16,117.29,4.1
REQ-10075,2026-01-24,2026-01-19,Phone,Data & Reporting,Data Export,Internal Staff,Normal,Closed,3.32,10.3,8,72,1,1,1,636.73,429.84,206.89,4.09
REQ-10164,2026-01-24,2026-01-19,Email,IT Support,Account Setup,Small Business,Normal,Open,2.07,0.0,8,72,1,1,0,284.57,108.8,175.77,4.14
REQ-10290,2026-01-24,2026-01-19,Web Form,Billing,Billing Question,Parent,Normal,In Progress,2.22,0.0,8,72,1,1,0,166.31,90.38,75.93,4.26
REQ-10044,2026-01-25,2026-01-19,Email,Admin Operations,Vendor Record Update,Vendor,Normal,In Progress,3.14,0.0,8,72,1,1,0,180,33.0,147.0,4.38
REQ-10388,2026-01-25,2026-01-19,Walk-In,Billing,Billing Question,Student,Normal,Closed,1.45,8.8,8,72,1,1,0,210,55.5,154.5,4.4
REQ-10427,2026-01-25,2026-01-19,Web Form,Data & Reporting,Data Export,Small Business,High,Closed,1.55,5.77,4,36,1,1,0,480,246.64,233.36,4.57
REQ-10495,2026-01-25,2026-01-19,Email,Systems Operations,Intake Form Issue,Parent,Low,Closed,4.1,38.47,16,120,1,1,0,533.53,272.77,260.76,4.0
REQ-10538,2026-01-25,2026-01-19,Email,Admin Operations,Vendor Record Update,Vendor,Normal,In Progress,3.05,0.0,8,72,1,1,0,212.33,106.43,105.9,4.3
REQ-10542,2026-01-25,2026-01-19,Walk-In,Client Success,Service Follow-Up,Small Business,Normal,Closed,2.49,15.85,8,72,1,1,0,285.03,87.45,197.58,4.34
REQ-10058,2026-01-26,2026-01-26,Unknown,Billing,Invoice Correction,Vendor,Normal,Closed,3.5,23.36,8,72,1,1,0,391.45,170.16,221.29,4.5
REQ-10060,2026-01-26,2026-01-26,Unknown,Billing,Billing Question,Small Business,Low,Closed,2.68,30.46,16,120,1,1,1,210,136.4,73.6,3.98
REQ-10348,2026-01-26,2026-01-26,Phone,Scheduling,Appointment Change,Small Business,High,Closed,1.54,4.68,4,36,1,1,1,192.03,84.55,107.48,4.16
REQ-10516,2026-01-26,2026-01-26,Web Form,Billing,Billing Question,Small Business,Normal,Closed,2.91,16.31,8,72,1,1,0,208.04,50.06,157.98,4.24
REQ-10527,2026-01-26,2026-01-26,Email,IT Support,Account Setup,Small Business,High,In Progress,0.64,0.0,4,36,1,1,0,387.58,135.65,251.93,4.25
REQ-10217,2026-01-27,2026-01-26,Web Form,Client Success,Service Follow-Up,Unknown,High,In Progress,2.52,0.0,4,36,1,1,0,327.87,131.93,195.94,4.29
REQ-10308,2026-01-27,2026-01-26,Web Form,Billing,Billing Question,Unknown,Normal,Closed,3.55,16.44,8,72,1,1,0,295.36,140.6,154.76,4.22
REQ-10588,2026-01-27,2026-01-26,Walk-In,IT Support,Account Setup,Vendor,High,Closed,1.94,13.0,4,36,1,1,0,431.03,152.23,278.8,4.65
REQ-10042,2026-01-28,2026-01-26,Phone,Admin Operations,Vendor Record Update,Internal Staff,Normal,In Progress,2.37,0.0,8,72,1,1,0,180,72.6,107.4,4.1
REQ-10113,2026-01-28,2026-01-26,Referral,Billing,Billing Question,Parent,Normal,Closed,4.92,29.52,8,72,1,1,0,246.6,83.73,162.87,4.3
REQ-10368,2026-01-28,2026-01-26,Email,Client Success,Service Follow-Up,Internal Staff,Normal,Closed,2.12,18.0,8,72,1,1,0,191.07,66.87,124.2,4.59
REQ-10632,2026-01-28,2026-01-26,Email,Billing,Billing Question,Student,Normal,Open,1.4,0.0,8,72,1,1,0,239.34,75.39,163.95,4.63
REQ-10024,2026-01-29,2026-01-26,Web Form,Scheduling,Appointment Change,Student,Normal,Closed,3.41,7.1,8,72,1,1,0,203.0,71.05,131.95,4.66
REQ-10153,2026-01-29,2026-01-26,Web Form,Admin Operations,Vendor Record Update,Internal Staff,Low,In Progress,6.7,0.0,16,120,1,1,0,190.83,98.44,92.39,3.94
REQ-10172,2026-01-29,2026-01-26,Web Form,Data & Reporting,Dashboard Request,Internal Staff,High,In Progress,3.4,0.0,4,36,1,1,0,850,423.06,426.94,4.32
REQ-10444,2026-01-29,2026-01-26,Email,Billing,Billing Question,Parent,Normal,Closed,4.51,33.75,8,72,1,1,0,260.98,112.0,148.98,4.23
REQ-10464,2026-01-29,2026-01-26,Web Form,Client Success,Service Follow-Up,Internal Staff,Normal,Closed,1.78,8.75,8,72,1,1,0,311.0,78.66,232.34,4.55
REQ-10519,2026-01-29,2026-01-26,Phone,Scheduling,Appointment Change,Parent,Normal,Open,2.73,0.0,8,72,1,1,0,192.19,100.52,91.67,4.29
REQ-10565,2026-01-29,2026-01-26,Web Form,Data & Reporting,Data Export,Small Business,Low,Closed,4.2,30.34,16,120,1,1,0,655.76,203.44,452.32,4.42
REQ-10569,2026-01-29,2026-01-26,Email,Data & Reporting,Dashboard Request,Small Business,Normal,Closed,2.9,23.17,8,72,1,1,1,722.34,246.52,475.82,3.88
REQ-10086,2026-01-30,2026-01-26,Web Form,Billing,Billing Question,Small Business,High,Closed,1.81,9.39,4,36,1,1,0,293.05,119.5,173.55,4.43
REQ-10142,2026-01-30,2026-01-26,Web Form,Admin Operations,Vendor Record Update,Vendor,Low,Closed,14.23,15.48,16,120,1,1,0,198.57,55.49,143.08,3.88
REQ-10371,2026-01-30,2026-01-26,Email,Scheduling,Appointment Change,Internal Staff,Normal,In Progress,5.21,0.0,8,72,1,1,0,222.74,64.3,158.44,4.2
REQ-10399,2026-01-30,2026-01-26,Web Form,IT Support,Account Setup,Student,Normal,Closed,1.65,5.35,8,72,1,1,0,375.17,85.08,290.09,4.7
REQ-10484,2026-01-30,2026-01-26,Email,Client Success,Service Follow-Up,Student,High,Closed,5.3,14.48,4,36,0,1,0,199.36,90.2,109.16,4.4
REQ-10525,2026-01-30,2026-01-26,Referral,Data & Reporting,Dashboard Request,Internal Staff,Normal,Closed,4.68,5.48,8,72,1,1,0,1231.95,414.8,817.15,4.45
REQ-10106,2026-01-31,2026-01-26,Phone,Data & Reporting,Data Export,Vendor,High,Closed,1.85,16.87,4,36,1,1,0,480,131.64,348.36,4.44
REQ-10271,2026-01-31,2026-01-26,Web Form,Billing,Invoice Correction,Parent,Low,Closed,2.23,52.03,16,120,1,1,0,235.16,117.51,117.65,4.1
REQ-10284,2026-01-31,2026-01-26,Walk-In,IT Support,Account Setup,Internal Staff,Normal,Closed,4.53,5.7,8,72,1,1,0,235.48,66.64,168.84,4.31
REQ-10454,2026-01-31,2026-01-26,Web Form,Scheduling,Appointment Change,Student,Low,Closed,2.42,8.9,16,120,1,1,0,122.98,30.06,92.92,4.68
REQ-10534,2026-01-31,2026-01-26,Phone,Client Success,Service Follow-Up,Internal Staff,High,Closed,1.94,8.95,4,36,1,1,0,261.39,133.97,127.42,4.43
REQ-10571,2026-01-31,2026-01-26,Unknown,Systems Operations,Automation Request,Student,Normal,Open,1.8,0.0,8,72,1,1,0,1628.21,589.33,1038.88,4.08
REQ-10081,2026-02-01,2026-01-26,Email,Scheduling,Appointment Change,Parent,Normal,In Progress,3.05,0.0,8,72,1,1,0,117.94,54.49,63.45,3.99
REQ-10103,2026-02-01,2026-01-26,Email,Billing,Invoice Correction,Parent,Normal,In Progress,3.45,0.0,8,72,1,1,0,301.52,88.19,213.33,4.17
REQ-10245,2026-02-01,2026-01-26,Email,IT Support,Account Setup,Internal Staff,Normal,Closed,3.71,8.75,8,72,1,1,0,367.68,201.51,166.17,4.4
REQ-10460,2026-02-01,2026-01-26,Unknown,Scheduling,Appointment Change,Parent,Normal,In Progress,1.46,0.0,8,72,1,1,0,160,85.15,74.85,4.37
REQ-10532,2026-02-01,2026-01-26,Unknown,Scheduling,Appointment Change,Unknown,Normal,Closed,2.06,8.75,8,72,1,1,0,175.79,95.43,80.36,4.7
REQ-10579,2026-02-01,2026-01-26,Email,Client Success,Service Follow-Up,Vendor,High,Open,3.4,0.0,4,36,1,1,0,254.91,79.25,175.66,4.16
REQ-10100,2026-02-02,2026-02-02,Walk-In,Client Success,Service Follow-Up,Vendor,Normal,Closed,4.21,5.01,8,72,1,1,0,302.2,89.38,212.82,4.36
REQ-10152,2026-02-02,2026-02-02,Phone,Admin Operations,Vendor Record Update,Student,High,Closed,5.58,12.63,4,36,0,1,0,185.82,86.22,99.6,3.8
REQ-10186,2026-02-02,2026-02-02,Web Form,Systems Operations,Intake Form Issue,Small Business,Normal,In Progress,4.4,0.0,8,72,1,1,0,532.47,257.26,275.21,4.03
REQ-10227,2026-02-02,2026-02-02,Email,Data & Reporting,Dashboard Request,Parent,Normal,Closed,3.84,7.47,8,72,1,1,0,850,306.92,543.08,4.4
REQ-10341,2026-02-02,2026-02-02,Web Form,Systems Operations,Automation Request,Vendor,Low,Closed,7.06,91.24,16,120,1,1,0,1200,548.42,651.58,3.26
REQ-10391,2026-02-02,2026-02-02,Web Form,Scheduling,Appointment Change,Small Business,Urgent,Open,1.32,0.0,2,24,1,1,0,164.93,70.73,94.2,4.29
REQ-10415,2026-02-03,2026-02-02,Web Form,Billing,Billing Question,Student,Low,Open,13.35,0.0,16,120,1,1,0,210,101.49,108.51,4.0
REQ-10506,2026-02-03,2026-02-02,Web Form,Scheduling,Appointment Change,Internal Staff,Low,Closed,1.75,9.62,16,120,1,1,0,172.57,87.26,85.31,3.8
