ticket_id,request_date,channel,department,request_type,customer_type,priority,status,response_hours,resolution_hours,rework_required,revenue_value,cost_estimate,satisfaction_score
REQ-10423,03/30/2026,Email,IT Support,Account Setup,Small Business,Normal,Open,2.72,0.00,false,,120.17,4.14
REQ-10004,2026-02-11,Web Form,Systems Operations,Intake Form Issue,Small Business,High,closed,1.44, 25.4 ,0,314.48,110.26,4.52
REQ-10626,01/16/2026,Email,Systems Operations,Intake Form Issue,Vendor,Normal,Closed,6.22, 13.0 ,yes,381.46,210.54,4.07
REQ-10030,2026-04-17,Referral,Billing,Invoice Correction,Vendor,Normal,Closed,3.33,45.50,no,,117.74,4.00
REQ-10227,02/02/2026,Email,Data & Reporting,Dashboard Request,Parent,Normal,Closed,3.84,7.47,N,,306.92,4.40
REQ-10246,03/11/2026,web form,Data & Reporting,Dashboard Request,Small Business,Normal,In Progress,1.33,0.00,no,1219.25,427.08,4.24
REQ-10194,02/25/2026,Referral,Client Success,Service Follow-Up,Student,Low,Closed,2.85,9.13,Y,306.74,138.33,4.21
REQ-10230,02/18/2026,Web Form,Billing,Billing Question,Vendor,Normal,In Progress,2.71,0.00,1,,,4.07
REQ-10481,03/01/2026,Email,Client Success,Service Follow-Up,Small Business,Normal,Closed,1.46,25.86,false,262.66,131.08,4.51
REQ-10325,2026-04-17,Email,Data & Reporting,Data Export,Parent,Normal,Closed,4.31, 30.6 ,false,438.95,108.93,
REQ-10627,2026-01-17,Email,Admin Operations,Vendor Record Update,Student,Normal,Open,1.99, 0.0 ,false,206.88,87.80,4.06
REQ-10431,Feb 24 2026,Web Form,Admin Operations,Vendor Record Update,Student,Normal,Closed,2.00,4.79,false,252.75, 61.8 ,4.48
REQ-10386,03/15/2026,Web Form,Systems Operations,Intake Form Issue,Vendor,Low,Closed,6.90,24.99,false,339.74,132.86,4.28
REQ-10157,2026-03-12,Referral,Admin Operations,Vendor Record Update,Student,Normal,Open,4.21,0.00,0,214.74,110.66,4.11
REQ-10221,Jan 19 2026,Web Form,Systems Operations,Automation Request,Vendor,High,In Progress,0.85,0.00,0,1117.13,334.11,4.19
REQ-10634,04/15/2026,web form,Admin Operations,Vendor Record Update,Small Business,High,Closed, 2.1 ,6.77,N,,65.73,4.64
REQ-10371,01/30/2026,Email,Scheduling,Appointment Change,Internal Staff,Normal,In Progress,5.21,0.00,N,222.74, 64.3 , 4.2 
REQ-10204,03/03/2026,Email,Scheduling,Appointment Change,Parent,Low,In Progress,5.95,0.00,false,195.38,57.85,4.17
REQ-10149,Feb 25 2026,,Data & Reporting,Dashboard Request,Vendor,Normal,In Progress,2.42,0.00,N,1218.67,307.26,4.40
REQ-10247,Feb 16 2026,phone,Data & Reporting,Data Export,,Normal,Closed,2.25,21.09,yes,620.11,,4.05
REQ-10380,Feb 11 2026,Referral,Admin Operations,Vendor Record Update,Vendor,Normal,Complete,5.04,12.00,0,189.63,82.04,4.54
REQ-10461,02/09/2026,Walk-In,Admin Operations,Vendor Record Update,Student,Urgent,Closed,0.90,2.32,no,250.05,,4.46
REQ-10568,2026-02-21,Web Form,Billing,Invoice Correction,Parent,Normal,In Progress,2.54,0.00,N,231.29,101.76,
REQ-10411,2026-02-17,referral,Billing,Billing Question,Parent,High,Closed,3.39,11.23,false,174.32,83.77,4.35
REQ-10515,Mar 14 2026,Email,IT Support,Account Setup,Student,Low,In Progress,5.24, 0.0 ,false,430.68,111.50,4.20
REQ-10583,2026-03-10,Phone,Billing,Billing Question,Student,Normal,In Progress,, 0.0 ,0,231.61,117.49,4.14
REQ-10146,2026-03-12,Phone,Scheduling,,Internal Staff,High,In Progress,1.77,0.00,false, 136.2 ,44.88,4.24
REQ-10614,04/20/2026,WEB,IT Support,Account Setup,Parent,High,closed, 2.4 ,5.28,N,280.66,115.91,4.55
REQ-10113,2026-01-28,referral,Billing,Billing Question,Parent,Normal,Closed,4.92,29.52,N,246.60,83.73,4.30
REQ-10106,2026-01-31,Phone,Data & Reporting,Data Export,Vendor,High,Closed,1.85,16.87,no,,131.64,4.44
REQ-10135,2026-04-07,Web Form,Systems Operations,Intake Form Issue,Parent,High,In Progress, 1.4 ,0.00,no,367.68,115.54,4.38
REQ-10419,Apr 20 2026, PHONE ,Systems Operations,Automation Request,Small Business,Normal,In Progress,0.80,0.00,1,865.38,,3.92
REQ-10024,2026-01-29,Web Form,Scheduling,Appointment Change,Student,Normal,Closed,3.41,7.10,N,203.00,,4.66
REQ-10038,Apr 17 2026,Phone,IT Support,Account Setup,Small Business,Low,Closed,1.80,12.32,true,396.56,231.28,4.26
REQ-10503,2026-02-07,Email,Systems Operations,Automation Request,Student,Normal,Closed, 3.0 ,58.20,false,1058.83,536.01,3.91
REQ-10556,03/06/2026,Web Form,Billing,Invoice Correction,Small Business,,Closed,1.23,8.54,0,310.87,157.88,4.71
REQ-10487,02/19/2026,Web Form,Data & Reporting,Dashboard Request,Internal Staff,Low,Open,2.58,,N,899.35, 461.4 , 4.3 
REQ-10241,2026-03-25,Web Form,IT Support,Account Setup,Internal Staff,High,New,2.09,0.00,no,341.00,97.26,4.21
REQ-10060,2026-01-26,,Billing,Billing Question,Small Business,Low,Closed,2.68,30.46,yes,,136.40,3.98
REQ-10405,02/14/2026,Web Form,,Data Export,Small Business,Low,Open,3.01,0.00,false,459.16,214.77,4.09
REQ-10345,03/29/2026,Email,Scheduling,Appointment Change,Parent,Low,Closed,7.23,8.03,N,162.90,46.06,4.51
REQ-10638,Jan 14 2026,Walk-In,Data & Reporting,Dashboard Request,Small Business,Normal,Closed,2.35,6.43,0,1203.31,493.40,4.36
REQ-10385,2026-02-26,Web Form,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,5.22,11.73,0,224.12,,4.29
REQ-10621,Jan 06 2026,Web Form,Client Success,Service Follow-Up,Internal Staff,High,Closed,-1.98,7.82,false,314.12,115.91, 4.4 
REQ-10160,2026-02-22,Walk-In,Data & Reporting,Dashboard Request,Student,High,Open,1.91,0.00,no,811.68, 372.0 , 4.4 
REQ-10468,Mar 29 2026,Email,Systems Operations,Intake Form Issue,Vendor,,New, 2.9 ,0.00,yes,560.67, 293.9 ,3.81
REQ-10441,Jan 06 2026,email,Billing,Invoice Correction,Student,Normal,In Progress,4.23,0.00,no,365.08,121.50,4.21
REQ-10046,2026-03-04,Referral,Scheduling,,Small Business,High,Closed,2.76,64.46,true,131.42,44.32,4.34
REQ-10474,Apr 05 2026,Web Form,Data & Reporting,Dashboard Request,Parent,High,Closed,2.13,3.93,N,, 348.5 ,4.40
REQ-10329,2026-04-11,Phone,Data & Reporting,Dashboard Request,Vendor,Urgent,Open,1.20,0.00,no,1105.71,361.23,4.24
REQ-10155,02/18/2026,Web Form,,Dashboard Request,Small Business,Urgent,closed,,2.86,no,714.52,197.42,4.67
REQ-10398,Apr 17 2026,Web Form,Billing,Billing Question,Parent,Normal,Closed,4.02,10.05,yes,273.77,137.62,
REQ-10347,2026-02-20,Email,IT Support,Account Setup,Internal Staff,High,Closed,2.84,,false,303.61,89.91,4.63
REQ-10270,2026-04-06,Email,Systems Operations,Automation Request,Internal Staff,Low,Open,7.44,0.00,N,1375.85,319.06,4.24
REQ-10020,02/10/2026, EMAIL ,Systems Operations,Intake Form Issue,Vendor,Low,In Progress,9.44,0.00,0,493.93,114.87,3.87
REQ-10414,2026-03-10,Email,Client Success,Service Follow-Up,Internal Staff,Urgent,Closed,1.40,2.20,0,234.11,80.20, 4.6 
REQ-10399,2026-01-30,Web Form,IT Support,Account Setup,Student,Normal,Closed,1.65,5.35,0,375.17,85.08, 4.7 
REQ-10351,04/24/2026,Email,IT Support,Account Setup,Small Business,Normal,open,14.16,0.00,false,322.23,132.77,3.86
REQ-10424,04/11/2026,web form,Billing,Billing Question,Vendor,Low,Closed,,27.34,no,230.79,57.93,4.25
REQ-10098,2026-04-16,Web Form,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,3.03,19.97,no,191.43,59.91,4.48
REQ-10433,04/20/2026,Referral,Data & Reporting,Dashboard Request,Vendor,Normal,Closed,1.67,16.96,true,715.29,478.98,4.24
REQ-10161,Feb 05 2026,Email,Billing,Invoice Correction,Parent,Normal,Closed,1.91,24.09,N,289.54,133.09, 4.2 
REQ-10139,01/12/2026,Web Form,Billing,Billing Question,Small Business,Normal,open,2.79,0.00,false, 194.7 ,53.22,4.09
REQ-10013,2026-01-22,Phone,Client Success,Service Follow-Up,Parent,High,Closed,1.08,12.12,0,244.25,85.56,4.61
REQ-10033,2026-03-30,Phone,Client Success,Service Follow-Up,Student,Normal,Closed,,,false,281.82,67.08, 4.5 
REQ-10003,2026-04-02,Web Form,Billing,Billing Question,Parent,Low,In Progress,4.89,0.00,yes,210.70,111.67,3.90
REQ-10185,,Email,Billing,Billing Question,Internal Staff,Normal,Closed,11.07,34.32,yes,264.61,206.42,3.48
REQ-10056,01/20/2026,Referral,Billing,Billing Question,Parent,Normal,Closed, 4.6 ,7.54,false,169.91,82.96,4.42
REQ-10082,2026-02-05,Email,Billing,Billing Question,Vendor,Normal,Done,14.13,15.10,true,248.32,-130.72,3.70
REQ-10063,01/22/2026,Web Form,Data & Reporting,Dashboard Request,Small Business,Urgent,In Progress,2.02,0.00,no,1000.70,306.71,4.16
REQ-10231,Mar 09 2026,Email,Data & Reporting,Dashboard Request,Parent,Low,Open,8.86,,false,1108.96,293.33,4.03
REQ-10244,02/08/2026,Email,Data & Reporting,Data Export,Small Business,Normal,Open,14.55,0.00,false,546.19,242.62, 3.8 
REQ-10299,2026-02-23,web form,Systems Operations,Intake Form Issue,Parent,Normal,Complete,,24.11,no,310.65,108.87,4.33
REQ-10169,02/05/2026,web form,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,2.62,15.09,no,141.91,63.76,4.46
REQ-10302,Mar 31 2026,Email,Data & Reporting,Data Export,Parent,Normal,In Progress, 7.4 ,0.00,no,694.64, 321.7 , 4.2 
REQ-10401,04/07/2026,Phone,Systems Operations,Intake Form Issue,Internal Staff,Low,In Progress,1.60,0.00,0,354.39,107.73,4.17
REQ-10293,2026-01-11,phone,IT Support,Account Setup,Parent,Normal,Closed,3.77,14.61,false,306.21, 91.7 ,4.48
REQ-10111,Jan 17 2026,Web Form,Data & Reporting,Dashboard Request,Small Business,Normal,Closed,5.26, 6.1 ,false,847.06,217.83,4.32
REQ-10152,2026-02-02,Phone,Admin Operations,Vendor Record Update,Student,High,Done,5.58,12.63,N,185.82,86.22,-4.49
REQ-10516,01/26/2026,Web Form,Billing,Billing Question,Small Business,Normal,Closed,2.91,16.31,0,208.04,50.06,4.24
REQ-10148,2026-02-16,Email,Systems Operations,Automation Request,Student,Normal,Closed,2.95,15.69,N,1032.76,315.31,4.29
REQ-10590,03/26/2026,Phone,Data & Reporting,Data Export,Internal Staff,High,Closed,1.52,9.37,no,421.89,112.58,4.50
REQ-10395,Feb 11 2026,web form,Admin Operations,Vendor Record Update,Vendor,Normal,In Progress,2.03,0.00,false,251.03,130.24,
REQ-10140,02/09/2026,Email,Data & Reporting,Data Export,Student,Normal,Closed,,11.54,no,-588.3,211.12,4.17
REQ-10476,,Referral,Data & Reporting,Data Export,Small Business,Normal,Closed,4.28,14.76,0,512.96, 219.1 ,4.38
REQ-10569,2026-01-29,Email,Data & Reporting,Dashboard Request,Small Business,Normal,Closed,2.90,23.17,Y,722.34,246.52,3.88
REQ-10040,03/11/2026,Email,Systems Operations,Intake Form Issue,Small Business,Normal,In Progress,4.67,0.00,1,382.59,255.57,3.71
REQ-10335,Jan 15 2026,Email,Systems Operations,Automation Request,Small Business,Normal,New,3.90,,N,1605.51,449.00,4.08
REQ-10078,Mar 26 2026,Web Form,Client Success,Service Follow-Up,Parent,Normal,Closed,,4.50,yes,352.75,112.12,4.06
REQ-10047,2026-03-25,Email,Admin Operations,Vendor Record Update,Parent,Normal,Closed,,84.28,no,146.05,47.14, 4.3 
REQ-10543,01/15/2026,Referral,Billing,Billing Question,,Normal,Closed,1.45,127.36,no, 289.2 , 129.7 ,-4.27
REQ-10285,Feb 12 2026,Email,Client Success,Service Follow-Up,Vendor,Normal,Closed,5.47,6.66,no,343.64,169.79,4.47
REQ-10165,Apr 12 2026, PHONE ,,Account Setup,Small Business,High,In Progress,1.38,0.00,no,270.54,107.96,4.46
REQ-10586,Mar 01 2026,Phone,IT Support,Account Setup,Vendor,Normal,Closed,3.20,8.47,yes,440.33,215.63, 4.3 
REQ-10244,02/08/2026,Email,Data & Reporting,Data Export,Small Business,Normal,Closed,14.55,,false,546.19,242.62, 3.8 
REQ-10435,Apr 01 2026,Web Form,Client Success,Service Follow-Up,Small Business,Normal,Closed,5.12,11.44,false,268.28, 91.1 ,4.51
REQ-10105,Apr 03 2026,Email,Data & Reporting,Dashboard Request,Internal Staff,Normal,Closed,2.41,46.29,0,1055.62,386.22,-4.09
REQ-10439,Mar 11 2026,Web Form,Client Success,Service Follow-Up,Small Business,Normal,Closed,3.80,13.95,no,214.15,110.22,
REQ-10258,Apr 21 2026,Walk in,Billing,Billing Question,Parent,Normal,Open,1.32,0.00,N,166.90,71.28,4.19
REQ-10110,04/03/2026,Phone,Scheduling,Appointment Change,Parent,Normal,Open,1.39,0.00,false,161.62,68.30,4.37
REQ-10573,Mar 28 2026,Phone,Billing,Invoice Correction,Internal Staff,Normal,,1.47,16.67,0,329.48,82.98,4.42
REQ-10355,Apr 20 2026,Email,Data & Reporting,Dashboard Request,Small Business,Low,,8.47,0.00,no,1171.32,459.60,4.15
REQ-10214,Mar 28 2026,Phone,Client Success,Service Follow-Up,Small Business,Normal,Closed,1.59,5.72,N,316.43,133.91,4.52
REQ-10421,Mar 11 2026,Email,Billing,Billing Question,Parent,Normal,Open,7.75,0.00,N,192.54,48.41,4.19
REQ-10618,01/09/2026,Web Form,Systems Operations,Intake Form Issue,Vendor,Low,Open,4.97,0.00,no,496.24,160.65,4.08
REQ-10608,02/12/2026,Web Form,Client Success,Service Follow-Up,Small Business,Normal,Closed,1.96,8.06,no, 223.3 ,88.12,4.49
REQ-10202,Feb 08 2026,Web Form,IT Support,Account Setup,Internal Staff,Normal,In Progress,1.96,0.00,0,420.38,161.63,4.37
REQ-10000,Jan 12 2026,,Scheduling,Appointment Change,Parent,Normal,Working,3.38,0.00,false,143.52,66.99,4.30
REQ-10463,Feb 23 2026,email,Admin Operations,Vendor Record Update,Small Business,Normal,Done,5.16,27.69,N,226.41,106.13, 4.3 
REQ-10132,03/07/2026,Email,Scheduling,Appointment Change,Small Business,Normal,Closed,2.37, 5.0 ,false,125.21,38.08, 4.4 
REQ-10457,,Email,IT Support,Account Setup,Small Business,Low,In Progress, 1.8 ,0.00,0,402.86,218.31,4.33
REQ-10526,Apr 02 2026,Web Form,Scheduling,Appointment Change,Small Business,Low,In Progress,4.59,0.00,no,136.71,70.48, 4.3 
REQ-10467,03/24/2026,Referral,Billing,Invoice Correction,Small Business,Normal,Closed,,19.59,false,,157.55,4.18
REQ-10261,02/14/2026,Referral,Billing,Billing Question,Student,High,Closed,1.90,13.80,false,266.03,142.13, 4.3 
REQ-10143,2026-04-12,,Scheduling,Appointment Change,,Low,,6.53,0.00,N,125.19,32.73,4.19
REQ-10361,2026-02-18,In Person,Systems Operations,Intake Form Issue,Internal Staff,Urgent,Open,1.05,0.00,0,421.77,111.85,4.09
REQ-10492,04/10/2026,Web Form,Data & Reporting,,Parent,Normal,Closed,1.39, 38.7 ,false,430.86, 105.2 ,4.25
REQ-10353,2026-01-20,E-mail,Systems Operations,Intake Form Issue,Small Business,Low,Working, 7.4 ,0.00,N,503.01,276.35,4.17
REQ-10562,01/09/2026,Email,Scheduling,Appointment Change,Student,Low,Closed, 4.2 ,15.03,N,225.08,107.77,4.38
REQ-10342,03/10/2026,Web Form,Systems Operations,Intake Form Issue,Parent,Normal,Closed,3.07,19.91,false,317.74,75.85,4.49
REQ-10519,01/29/2026,Phone,Scheduling,Appointment Change,Parent,Normal,Open,2.73,0.00,0,192.19,100.52,4.29
REQ-10416,2026-02-07,WEB,Admin Operations,Vendor Record Update,Vendor,Normal,Closed,1.50,10.68,false,206.94,103.19,4.49
REQ-10248,Apr 09 2026,In Person,Billing,Invoice Correction,Parent,Normal,Closed,2.97,,N,,61.25,-4.23
REQ-10536,Mar 08 2026,E-mail,IT Support,Account Setup,Small Business,Normal,Closed,2.68,10.63,false,435.59,153.49,4.56
REQ-10266,Apr 23 2026,Web Form,Data & Reporting,,Student,Normal,Closed,1.47,14.10,false,626.56,168.75,4.61
REQ-10402,02/27/2026,Phone,,Invoice Correction,Internal Staff,Normal,open,3.20,0.00,0,286.10,134.04,
REQ-10596,,Email,Systems Operations,Intake Form Issue,Small Business,High,Done,1.43,8.40,no,533.48, 183.3 ,4.51
REQ-10374,,Email,Admin Operations,Vendor Record Update,Small Business,Low,Closed,4.94,12.31,0, 135.9 ,38.61, 4.5 
REQ-10161,Feb 05 2026,Email,Billing,Invoice Correction,Parent,Normal,Done,1.91,96.78,N,289.54,133.09, 4.2 
REQ-10037,Mar 22 2026,E-mail,IT Support,Account Setup,Small Business,Normal,In Progress,3.65,0.00,false, 390.6 ,152.53,4.08
REQ-10097,Mar 01 2026,Email,Systems Operations,Intake Form Issue,,Normal,In Progress,1.95,0.00,false,387.01,116.21,
REQ-10081,02/01/2026,Email,Scheduling,Appointment Change,Parent,Normal,In Progress,-13.14,0.00,N,117.94,54.49,3.99
REQ-10504,2026-01-14, EMAIL ,,Automation Request,Small Business,Low,Closed,4.16,,no,1130.85,531.55, 4.3 
REQ-10319,Mar 08 2026,Phone,Data & Reporting,,Small Business,Normal,In Progress,1.16,0.00,no,628.78,307.92,
REQ-10452,01/10/2026,Email,Systems Operations,Intake Form Issue,Internal Staff,Low,Closed, 5.0 ,48.42,0,459.58,144.63,3.94
REQ-10466,Jan 10 2026,Email,Systems Operations,Intake Form Issue,Student,Low,Closed,11.13,11.93,0,323.97,175.93,4.27
REQ-10611,Feb 23 2026,Walk-In,Admin Operations,Vendor Record Update,Small Business,Normal,Complete,2.09,10.73,false, 168.4 ,52.19,4.48
REQ-10323,2026-03-30,Phone,Billing,Invoice Correction,Small Business,Normal,Closed,2.98,14.19,0,306.78,147.45,4.58
REQ-10546,02/14/2026,E-mail,IT Support,Account Setup,Parent,Normal,In Progress,6.26,0.00,0,451.91, 202.5 ,4.21
REQ-10095,03/14/2026,Walk-In,IT Support,Account Setup,Student,High,Closed,,12.00,0,355.95,179.62,4.61
REQ-10613,2026-02-16,Web Form,IT Support,Account Setup,Student,Low,In Progress,4.57,0.00,false,,153.86,4.19
REQ-10623,2026-03-12,Email,Data & Reporting,Data Export,Parent,Normal,Closed,2.61,10.87,0,598.06,184.08,4.46
REQ-10050,03/23/2026,referral,Client Success,Service Follow-Up,Small Business,Normal,Closed,,,false,243.09,83.42,4.54
REQ-10085,Feb 04 2026,Email,Scheduling,Appointment Change,Parent,Normal,Closed,, 6.8 ,N,212.63,58.50,4.60
REQ-10409,Feb 23 2026,Referral,Scheduling,Appointment Change,Internal Staff,Normal,Closed,3.03,7.58,N,150.00,73.02, 4.6 
REQ-10620,2026-03-19,E-mail,Data & Reporting,Data Export,Student,Normal,Closed,6.37,7.17,0,508.30,132.46,4.43
REQ-10381,Mar 03 2026,Web Form,Systems Operations,Intake Form Issue,Parent,High,Closed,0.95,9.22,N,364.99,,4.39
REQ-10557,Feb 17 2026,Web Form,Billing,Billing Question,Internal Staff,Normal,Open, 4.1 ,0.00,false,151.67,,4.26
REQ-10211,2026-04-24,Email,Systems Operations,Intake Form Issue,Parent,Normal,Closed,2.49,14.44,yes,467.81,,4.01
REQ-10489,2026-01-14,Email,Client Success,Service Follow-Up,Small Business,Urgent,Open,1.32,0.00,N,245.34,75.49,
REQ-10172,01/29/2026,Web Form,,Dashboard Request,Internal Staff,High,In Progress,3.40,0.00,false,-1200.36,423.06,4.32
REQ-10019,03/13/2026,email,Client Success,Service Follow-Up,Vendor,Normal,Closed,1.41,8.27,N,219.99,119.14,4.60
REQ-10362,Jan 11 2026,Email,,Invoice Correction,Vendor,High,Closed,2.98,,no,-270.85,112.41,4.15
REQ-10312,02/18/2026,Web Form,IT Support,,Parent,Normal,closed,2.38,7.70,false,421.16,,4.57
REQ-10300,2026-04-04,Referral,Billing,Billing Question,Internal Staff,Low,Closed,7.99, 17.3 ,false,,49.46, 4.1 
REQ-10451,Mar 11 2026,Web Form,Admin Operations,Vendor Record Update,Internal Staff,Normal,Closed,2.86,12.13,no,251.37,130.73,4.43
REQ-10507,2026-04-11,Email,Systems Operations,Intake Form Issue,Parent,Urgent,Done,1.40,7.92,no,349.68, 162.5 ,4.70
REQ-10334,2026-03-29,Web Form,Client Success,Service Follow-Up,Vendor,Low,Complete,6.74,7.54,no,,127.80,4.42
REQ-10339,2026-04-07, EMAIL ,Data & Reporting,Dashboard Request,Parent,Normal,Closed,2.09,9.30,false,1227.77,588.84, 4.5 
REQ-10566,Mar 08 2026,Email,Client Success,Service Follow-Up,Small Business,Urgent,Closed,0.59,-3.44,false,293.16,135.58,4.68
REQ-10073,2026-01-08,In Person,Admin Operations,Vendor Record Update,,Low,Closed,3.25,19.99,false, 245.5 ,,4.27
REQ-10147,04/02/2026,Web Form,Systems Operations,Intake Form Issue,Vendor,Low,,1.78,24.99,1,405.71,321.85,4.17
